name	break5	break3	delread	wtread	heteroplasmy
SRR20751597.2000000	13972	14025	1	203	0.490196078431373
SRR20751597.2000000	11256	11395	1	354	0.28169014084507
SRR20751597.2000000	10603	10704	1	235	0.423728813559322
SRR20751597.2000000	6580	6697	1	768	0.130039011703511
SRR20751597.2000000	11052	11100	1	266	0.374531835205993
SRR20751597.2000000	3790	3865	1	108	0.917431192660551
SRR20751597.2000000	12372	12587	1	40	2.4390243902439
SRR20751597.2000000	2317	2352	2	308	0.645161290322581
SRR20751597.2000000	1683	1811	1	162	0.613496932515337
SRR20751597.2000000	9328	9399	1	341	0.292397660818713
SRR20751597.2000000	3592	3648	1	180	0.552486187845304
SRR20751597.2000000	798	861	1	54	1.81818181818182
SRR20751597.2000000	3608	3641	1	142	0.699300699300699
SRR20751597.2000000	8794	8972	4	468	0.847457627118644
SRR20751597.2000000	8479	8626	1	370	0.269541778975741
SRR20751597.2000000	2213	2257	1	282	0.353356890459364
SRR20751597.2000000	9055	9124	1	406	0.245700245700246
SRR20751597.2000000	14613	14653	2	247	0.803212851405622
SRR20751597.2000000	14476	14572	2	334	0.595238095238095
SRR20751597.2000000	8547	8593	1	374	0.266666666666667
SRR20751597.2000000	8698	8749	1	402	0.248138957816377
SRR20751597.2000000	4879	4939	1	150	0.662251655629139
SRR20751597.2000000	8895	8988	2	462	0.431034482758621
SRR20751597.2000000	14923	14978	1	225	0.442477876106195
SRR20751597.2000000	14797	14934	1	111	0.892857142857143
SRR20751597.2000000	4879	4935	1	144	0.689655172413793
SRR20751597.2000000	6584	6666	1	1094	0.091324200913242
SRR20751597.2000000	6583	6665	3	1098	0.272479564032698
SRR20751597.2000000	14364	14741	1	128	0.775193798449612
SRR20751597.2000000	7358	7418	1	1093	0.0914076782449726
SRR20751597.2000000	9566	9635	1	372	0.268096514745308
SRR20751597.2000000	14800	14941	1	131	0.757575757575758
SRR20751597.2000000	13776	13941	1	178	0.558659217877095
SRR20751597.2000000	14422	14475	1	283	0.352112676056338
SRR20751597.2000000	8922	8999	1	418	0.238663484486873
SRR20751597.2000000	11246	11276	4	331	1.19402985074627
SRR20751597.2000000	7168	7285	9	854	1.04287369640788
SRR20751597.2000000	7393	7494	1	863	0.115740740740741
SRR20751597.2000000	14618	14689	1	200	0.497512437810945
SRR20751597.2000000	4898	4941	1	135	0.735294117647059
SRR20751597.2000000	13289	13370	2	127	1.55038759689922
SRR20751597.2000000	6038	6097	1	780	0.128040973111396
SRR20751597.2000000	15462	15557	1	210	0.4739336492891
SRR20751597.2000000	14789	14881	1	124	0.8
SRR20751597.2000000	14544	14574	1	258	0.386100386100386
SRR20751597.2000000	6075	6471	1	650	0.153609831029186
SRR20751597.2000000	7853	7937	2	385	0.516795865633075
SRR20751597.2000000	4880	4940	1	156	0.636942675159236
SRR20751597.2000000	12541	12592	1	135	0.735294117647059
SRR20751597.2000000	13419	13502	1	129	0.769230769230769
SRR20751597.2000000	8452	8523	1	284	0.350877192982456
SRR20751597.2000000	3813	3984	1	156	0.636942675159236
SRR20751597.2000000	14054	14133	1	194	0.512820512820513
SRR20751597.2000000	8752	8796	1	424	0.235294117647059
SRR20751597.2000000	13677	13734	1	201	0.495049504950495
SRR20751597.2000000	11752	11802	1	296	0.336700336700337
SRR20751597.2000000	13851	14020	1	204	0.48780487804878
SRR20751597.2000000	8455	8507	3	259	1.14503816793893
SRR20751597.2000000	11236	11290	1	421	0.23696682464455
SRR20751597.2000000	13837	13922	3	222	1.33333333333333
SRR20751597.2000000	4884	4938	13	150	7.97546012269939
SRR20751597.2000000	10969	11401	1	306	0.325732899022801
SRR20751597.2000000	13654	13738	7	213	3.18181818181818
SRR20751597.2000000	10738	10820	1	330	0.302114803625378
SRR20751597.2000000	4902	4944	1	138	0.719424460431655
SRR20751597.2000000	13843	14064	1	195	0.510204081632653
SRR20751597.2000000	13858	13903	1	182	0.546448087431694
SRR20751597.2000000	14130	14210	1	220	0.452488687782805
SRR20751597.2000000	8421	8678	1	306	0.325732899022801
